Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
Nodes keep percentage is :  1.0
** Start training **
Epoch #13 cost=0.024867
Epoch #14 cost=0.024680
Epoch #15 cost=0.024477
Epoch #16 cost=0.024279
Epoch #17 cost=0.024073
Epoch #18 cost=0.023862
Epoch #19 cost=0.023643
Epoch #20 cost=0.023384
Epoch #21 cost=0.023159
Epoch #22 cost=0.022925
Epoch #23 cost=0.022710
Epoch #24 cost=0.022494
Epoch #25 cost=0.022295
Epoch #26 cost=0.022070
Epoch #27 cost=0.021879
Epoch #28 cost=0.021688
Epoch #29 cost=0.021520
Epoch #30 cost=0.021350
Epoch #31 cost=0.021189
Epoch #32 cost=0.021023
Epoch #33 cost=0.020875
Epoch #34 cost=0.020732
Epoch #35 cost=0.020581
Epoch #36 cost=0.020481
Epoch #37 cost=0.020346
Epoch #38 cost=0.020243
Epoch #39 cost=0.020115
Epoch #40 cost=0.019999
Epoch #41 cost=0.019873
Epoch #42 cost=0.019784
Epoch #43 cost=0.019637
Epoch #44 cost=0.019572
Epoch #45 cost=0.019397
Epoch #46 cost=0.019399
Epoch #47 cost=0.019255
Epoch #48 cost=0.019293
Epoch #49 cost=0.019142
** Start training **
Epoch #0 cost=0.039953
Epoch #1 cost=0.035928
Epoch #2 cost=0.031520
Epoch #3 cost=0.028679
Epoch #4 cost=0.027881
Epoch #5 cost=0.027327
Epoch #6 cost=0.026923
Epoch #7 cost=0.026464
Epoch #8 cost=0.026044
Epoch #9 cost=0.025742
Epoch #10 cost=0.025499
Epoch #11 cost=0.025321
Epoch #12 cost=0.025160
Epoch #13 cost=0.025013
Epoch #14 cost=0.024827
Epoch #15 cost=0.024648
Epoch #16 cost=0.024463
Epoch #17 cost=0.024257
Epoch #18 cost=0.024054
Epoch #19 cost=0.023844
Epoch #20 cost=0.023626
Epoch #21 cost=0.023394
Epoch #22 cost=0.023194
Epoch #23 cost=0.022990
Epoch #24 cost=0.022754
Epoch #25 cost=0.022547
Epoch #26 cost=0.022316
Epoch #27 cost=0.022107
Epoch #28 cost=0.021899
Epoch #29 cost=0.021713
Epoch #30 cost=0.021524
Epoch #31 cost=0.021348
Epoch #32 cost=0.021170
Epoch #33 cost=0.021002
Epoch #34 cost=0.020848
Epoch #35 cost=0.020699
Epoch #36 cost=0.020543
Epoch #37 cost=0.020429
Epoch #38 cost=0.020299
Epoch #39 cost=0.020167
Epoch #40 cost=0.020046
Epoch #41 cost=0.019921
Epoch #42 cost=0.019813
Epoch #43 cost=0.019694
Epoch #44 cost=0.019621
Epoch #45 cost=0.019475
Epoch #46 cost=0.019458
Epoch #47 cost=0.019292
Epoch #48 cost=0.019370
Epoch #49 cost=0.019191
** Start training **
Epoch #0 cost=0.039514
Epoch #1 cost=0.037307
Epoch #2 cost=0.033906
Epoch #3 cost=0.030259
Epoch #4 cost=0.027676
Epoch #5 cost=0.026840
Epoch #6 cost=0.026314
Epoch #7 cost=0.025930
Epoch #8 cost=0.025545
Epoch #9 cost=0.025311
Epoch #10 cost=0.025114
Epoch #11 cost=0.024933
Epoch #12 cost=0.024742
Epoch #13 cost=0.024553
Epoch #14 cost=0.024354
Epoch #15 cost=0.024143
Epoch #16 cost=0.023916
Epoch #17 cost=0.023702
Epoch #18 cost=0.023456
Epoch #19 cost=0.023240
Epoch #20 cost=0.023018
Epoch #21 cost=0.022789
Epoch #22 cost=0.022592
Epoch #23 cost=0.022387
Epoch #24 cost=0.022181
Epoch #25 cost=0.021961
Epoch #26 cost=0.021755
Epoch #27 cost=0.021547
Epoch #28 cost=0.021346
Epoch #29 cost=0.021174
Epoch #30 cost=0.021005
Epoch #31 cost=0.020836
Epoch #32 cost=0.020697
Epoch #33 cost=0.020544
Epoch #34 cost=0.020401
Epoch #35 cost=0.020256
Epoch #36 cost=0.020141
Epoch #37 cost=0.019991
Epoch #38 cost=0.019886
Epoch #39 cost=0.019756
Epoch #40 cost=0.019649
Epoch #41 cost=0.019520
Epoch #42 cost=0.019386
Epoch #43 cost=0.019279
Epoch #44 cost=0.019164
Epoch #45 cost=0.019072
Epoch #46 cost=0.018973
Epoch #47 cost=0.018924
Epoch #48 cost=0.018835
Epoch #49 cost=0.018884
** Start training **
Epoch #0 cost=0.038809
Epoch #1 cost=0.035872
Epoch #2 cost=0.031555
Epoch #3 cost=0.029049
Epoch #4 cost=0.028571
Epoch #5 cost=0.028208
Epoch #6 cost=0.027774
Epoch #7 cost=0.027346
Epoch #8 cost=0.026936
Epoch #9 cost=0.026592
Epoch #10 cost=0.026338
Epoch #11 cost=0.025985
Epoch #12 cost=0.025805
Epoch #13 cost=0.025630
Epoch #14 cost=0.025484
Epoch #15 cost=0.025311
Epoch #16 cost=0.025148
Epoch #17 cost=0.024969
Epoch #18 cost=0.024774
Epoch #19 cost=0.024577
Epoch #20 cost=0.024374
Epoch #21 cost=0.024209
Epoch #22 cost=0.024031
Epoch #23 cost=0.023850
Epoch #24 cost=0.023660
Epoch #25 cost=0.023469
Epoch #26 cost=0.023280
Epoch #27 cost=0.023101
Epoch #28 cost=0.022931
Epoch #29 cost=0.022778
Epoch #30 cost=0.022613
Epoch #31 cost=0.022455
Epoch #32 cost=0.022292
Epoch #33 cost=0.022166
Epoch #34 cost=0.022012
Epoch #35 cost=0.021855
Epoch #36 cost=0.021719
Epoch #37 cost=0.021575
Epoch #38 cost=0.021441
Epoch #39 cost=0.021320
Epoch #40 cost=0.021206
Epoch #41 cost=0.021091
Epoch #42 cost=0.020987
Epoch #43 cost=0.020875
Epoch #44 cost=0.020774
Epoch #45 cost=0.020662
Epoch #46 cost=0.020573
Epoch #47 cost=0.020450
Epoch #48 cost=0.020399
Epoch #49 cost=0.020247
** Start training **
Epoch #0 cost=0.038438
Epoch #1 cost=0.035231
Epoch #2 cost=0.031015
Epoch #3 cost=0.028250
Epoch #4 cost=0.027374
Epoch #5 cost=0.027008
Epoch #6 cost=0.026660
Epoch #7 cost=0.026220
Epoch #8 cost=0.025923
Epoch #9 cost=0.025613
Epoch #10 cost=0.025363
Epoch #11 cost=0.025170
Epoch #12 cost=0.025036
Epoch #13 cost=0.024875
Epoch #14 cost=0.024686
Epoch #15 cost=0.024472
Epoch #16 cost=0.024254
Epoch #17 cost=0.024042
Epoch #18 cost=0.023780
Epoch #19 cost=0.023573
Epoch #20 cost=0.023360
Epoch #21 cost=0.023121
Epoch #22 cost=0.022907
Epoch #23 cost=0.022709
Epoch #24 cost=0.022495
Epoch #25 cost=0.022271
Epoch #26 cost=0.022057
Epoch #27 cost=0.021834
Epoch #28 cost=0.021626
Epoch #29 cost=0.021428
Epoch #30 cost=0.021222
Epoch #31 cost=0.021015
Epoch #32 cost=0.020829
Epoch #33 cost=0.020649
Epoch #34 cost=0.020464
Epoch #35 cost=0.020284
Epoch #36 cost=0.020107
Epoch #37 cost=0.019947
Epoch #38 cost=0.019775
Epoch #39 cost=0.019615
